CUST_ID,INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CREDIT_SCORE,DEFAULT,CAT_GAMBLING_Low,CAT_GAMBLING_No,CAT_DEBT_1,CAT_CREDIT_CARD_1,CAT_MORTGAGE_1,CAT_SAVINGS_ACCOUNT_1,CAT_DEPENDENTS_1,DTI,STI,CUR,TOTAL_SPENDING,GAMBLING_PERCENTAGE,IS_HIGH_DEBT,IS_LOW_SAVINGS,NEW_CREDIT_SCORE,LOAN_STATUS
C02COQEVYU,33269,0,532304,0.0,16.0,1.2,1889,945,0.5003,0.0568,0.0,0.0035,0,0,0.5044,0.0,0.1404,0.0,3068,1554,0.5065,0.0922,0.0,0.0058,0,0,1.3634,0.0,0.0026,0.0,1313,605,0.4608,0.0395,0.0,0.0025,4849,2753,0.5677,0.1458,0.0,0.0091,320,0,0.3314,0.0096,0.0055,0.0006,3006,1521,0.506,0.0904,0.0,0.0056,0,0,0.5322,0.0,0.0276,0.0,17893,11439,0.6393,0.5378,0.0,0.0336,931,469,0.5038,0.028,0.0655,0.0017,33269,19286,0.5797,1.0,0.0,0.0625,444,1,False,False,True,False,False,False,False,0.4324259472707719,0.0,0.9721623618369122,0.09109540435436715,0.1439592666982967,1.0,1.0,329.85,REJECTED
C02OZKC0ZF,77158,91187,315648,1.1818,4.0909,3.4615,5818,111,0.0191,0.0754,0.0638,0.0184,0,0,0.5001,0.0,0.0,0.0,17244,8694,0.5042,0.2235,0.1891,0.0546,0,0,1.0542,0.0,0.0,0.0,0,0,0.5431,0.0,0.0,0.0,5224,2386,0.4567,0.0677,0.0573,0.0166,467,110,0.2355,0.0061,0.0051,0.0015,16339,8269,0.5061,0.2118,0.1792,0.0518,1973,988,0.5008,0.0256,0.0216,0.0063,20234,3133,0.1548,0.2622,0.2219,0.0641,2845,1423,0.5002,0.0369,0.0312,0.009,70144,25114,0.358,0.9091,0.7692,0.2222,625,0,False,True,True,False,False,True,False,0.11056402560664853,0.07335405655580217,0.6736459499691447,0.1957676913906157,0.0,1.0,0.0,522.64,REJECTED
C03FHP2D0A,30917,21642,534864,0.7,17.3,24.7142,1157,860,0.7433,0.0374,0.0535,0.0022,0,0,0.5022,0.0,0.0,0.0,3611,2231,0.6178,0.1168,0.1669,0.0068,36,36,1.0,0.0012,0.0017,0.0001,1201,609,0.5071,0.0388,0.0555,0.0022,4335,2418,0.5578,0.1402,0.2003,0.0081,891,387,0.4343,0.0288,0.0412,0.0017,2759,1395,0.5056,0.0892,0.1275,0.0052,0,0,0.5166,0.0,0.0,0.0,16072,9251,0.5756,0.5198,0.7426,0.03,855,431,0.5041,0.0277,0.0395,0.0016,30917,17618,0.5698,1.0,1.4286,0.0578,469,1,False,False,True,False,False,True,False,0.46756046806982027,0.043448242771615596,0.9405029511874481,0.08441908654801443,0.14169688667664984,1.0,0.0,435.01,REJECTED
C03PVPPHOY,80657,64526,629125,0.8,7.8,9.7499,6857,3686,0.5376,0.085,0.1063,0.0109,4402,2215,0.5032,0.0546,0.0682,0.007,13446,6849,0.5094,0.1667,0.2084,0.0214,0,0,0.0,0.0,0.0,0.0,7796,4056,0.5203,0.0967,0.1208,0.0124,4547,2355,0.5179,0.0564,0.0705,0.0072,2068,795,0.3844,0.0256,0.032,0.0033,12619,6387,0.5061,0.1565,0.1956,0.0201,1675,915,0.5463,0.0208,0.026,0.0027,25038,11835,0.4727,0.3104,0.388,0.0398,2209,1112,0.5034,0.0274,0.0342,0.0035,80657,40205,0.4985,1.0,1.25,0.1282,559,0,False,False,True,False,False,True,False,0.210807783326869,0.04965521297260533,0.8392492054309303,0.22560958301399417,0.35256923439853394,1.0,0.0,442.93,REJECTED
C04J69MUX0,149971,1172498,2399531,7.8182,16.0,2.0465,1978,322,0.1628,0.0132,0.0017,0.0008,0,0,0.5029,0.0,0.0,0.0,5194,2675,0.515,0.0346,0.0044,0.0022,0,0,0.5872,0.0,0.0,0.0,1734,912,0.526,0.0116,0.0015,0.0007,34814,15369,0.4415,0.2321,0.0297,0.0145,7513,2581,0.3435,0.0501,0.0064,0.0031,42658,21589,0.5061,0.2844,0.0364,0.0178,3941,1794,0.4552,0.0263,0.0034,0.0016,28167,12334,0.4379,0.1878,0.024,0.0117,10338,5190,0.502,0.0689,0.0088,0.0043,136337,62766,0.4604,0.9091,0.1163,0.0568,473,0,False,False,True,True,True,True,True,0.4324250462091765,0.48526279236667813,0.6659133750744742,0.3836611882256096,0.0463927382169555,1.0,0.0,507.46,REJECTED
C04Q46QKOG,181636,339055,1695274,1.8667,9.3334,5.0,11446,1910,0.1669,0.063,0.0338,0.0068,5680,2864,0.5042,0.0313,0.0168,0.0034,21832,11142,0.5104,0.1202,0.0644,0.0129,0,0,0.5347,0.0,0.0,0.0,0,0,0.524,0.0,0.0,0.0,24778,13407,0.5411,0.1364,0.0731,0.0146,7429,843,0.1135,0.0409,0.0219,0.0044,30650,15512,0.5061,0.1687,0.0904,0.0181,7889,3160,0.4006,0.0434,0.0233,0.0047,0,0,0.6081,0.0,0.0,0.0,11387,5724,0.5027,0.0627,0.0336,0.0067,121091,54562,0.4506,0.6667,0.3571,0.0714,596,0,False,True,True,False,False,True,False,0.25224916362034183,0.1158618326497479,0.7902140486371643,0.3403843424451446,0.0,1.0,0.0,492.62,REJECTED
C069MLDS7X,60881,42617,383550,0.7,6.3,8.9999,2658,117,0.044,0.0437,0.0624,0.0069,0,0,0.506,0.0,0.0,0.0,10264,5207,0.5073,0.1686,0.2408,0.0268,479,273,0.5699,0.0079,0.0112,0.0012,0,0,0.6257,0.0,0.0,0.0,3207,1512,0.4715,0.0527,0.0753,0.0084,1947,1342,0.6893,0.032,0.0457,0.0051,9741,4930,0.5061,0.16,0.2286,0.0254,1411,708,0.5018,0.0232,0.0331,0.0037,29482,19255,0.6531,0.4843,0.6918,0.0769,1692,851,0.503,0.0278,0.0397,0.0044,60881,34195,0.5617,1.0,1.4286,0.1587,580,0,False,True,True,False,False,True,False,0.17026758356024926,0.04344834786493508,0.813425839958704,0.16947401288711006,0.0,1.0,0.0,499.65,REJECTED
C07VC05Z4R,220838,186863,2225362,0.8462,10.0769,11.9091,4383,1272,0.2902,0.0198,0.0235,0.002,0,0,0.5047,0.0,0.0,0.0,35845,18388,0.513,0.1623,0.1918,0.0161,0,0,0.6064,0.0,0.0,0.0,0,0,0.4605,0.0,0.0,0.0,28124,9465,0.3365,0.1274,0.1505,0.0126,8873,0,0.4972,0.0402,0.0475,0.004,0,0,0.5061,0.0,0.0,0.0,11593,3871,0.3339,0.0525,0.062,0.0052,62496,7719,0.1235,0.283,0.3344,0.0281,18561,9361,0.5043,0.084,0.0993,0.0083,169875,50076,0.2948,0.7692,0.9091,0.0763,596,0,False,True,True,True,False,True,False,0.272344510135931,0.052519632844118855,0.8729857589729135,0.4788611655170456,0.0,1.0,0.0,471.71,REJECTED
C0CLKGEG1L,78615,62892,110061,0.8,1.4,1.75,5912,2346,0.3968,0.0752,0.094,0.0537,0,0,0.5008,0.0,0.0,0.0,23931,13578,0.5674,0.3044,0.3805,0.2174,0,0,0.5982,0.0,0.0,0.0,11716,5710,0.4874,0.149,0.1863,0.1065,8023,4514,0.5626,0.1021,0.1276,0.0729,2793,1546,0.5535,0.0355,0.0444,0.0254,20089,10167,0.5061,0.2555,0.3194,0.1825,2668,1458,0.5465,0.0339,0.0424,0.0242,0,0,0.4156,0.0,0.0,0.0,3483,1752,0.503,0.0443,0.0554,0.0316,78615,41071,0.5224,1.0,1.25,0.7143,638,0,False,False,True,False,False,True,False,0.037837270386192536,0.04965490515738063,0.45190359788512713,0.2198132220613699,0.5436114441647302,1.0,0.0,477.2,REJECTED
C0EOQXXNNB,98937,89043,742028,0.9,7.5,8.3334,9001,3881,0.4312,0.091,0.1011,0.0121,5049,2534,0.5019,0.051,0.0567,0.0068,20305,12688,0.6249,0.2052,0.228,0.0274,0,0,0.5798,0.0,0.0,0.0,9201,4928,0.5356,0.093,0.1033,0.0124,5212,2683,0.5148,0.0527,0.0585,0.007,2119,1215,0.5734,0.0214,0.0238,0.0029,14503,7341,0.5062,0.1466,0.1629,0.0195,2100,1050,0.5,0.0212,0.0236,0.0028,28927,16976,0.5869,0.2924,0.3249,0.039,2520,1263,0.5012,0.0255,0.0283,0.0034,98937,54559,0.5515,1.0,1.1111,0.1333,538,1,False,False,True,False,False,True,False,0.20269979936818147,0.05586158009552345,0.8241406781914138,0.27749865167901444,0.3392274127106835,1.0,0.0,446.01,REJECTED
